Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,3160.000000,3160.000000,3160.000000,3160.000000,2429.165527,0
2001-01-02,3160.000000,3380.000000,3140.000000,3350.000000,2575.222412,39455000
2001-01-03,3230.000000,3420.000000,3220.000000,3370.000000,2590.597656,37855000
2001-01-04,3790.000000,3870.000000,3660.000000,3780.000000,2905.773926,119910000
2001-01-05,3760.000000,3920.000000,3700.000000,3900.000000,2998.020020,78135000
2001-01-08,3820.000000,3910.000000,3780.000000,3880.000000,2982.646484,42295000
2001-01-09,3830.000000,3860.000000,3710.000000,3840.000000,2951.896973,46280000
2001-01-10,3780.000000,3810.000000,3700.000000,3710.000000,2851.962891,41235000
2001-01-11,3790.000000,3790.000000,3640.000000,3640.000000,2798.152832,31410000
2001-01-12,3800.000000,3890.000000,3770.000000,3840.000000,2951.896973,52900000
2001-01-15,3860.000000,4020.000000,3840.000000,3920.000000,3013.395264,51460000
2001-01-16,3960.000000,4200.000000,3850.000000,4140.000000,3182.514160,52065000
2001-01-17,4060.000000,4240.000000,4060.000000,4220.000000,3244.011719,52570000
2001-01-18,4240.000000,4530.000000,4240.000000,4400.000000,3382.381348,57685000
2001-01-19,4700.000000,4700.000000,4520.000000,4600.000000,3536.126465,54245000
2001-01-22,4600.000000,4600.000000,4470.000000,4550.000000,3497.690430,42250000
2001-01-23,4550.000000,4550.000000,4550.000000,4550.000000,3497.690430,0
2001-01-24,4550.000000,4550.000000,4550.000000,4550.000000,3497.690430,0
2001-01-25,4550.000000,4550.000000,4550.000000,4550.000000,3497.690430,0
2001-01-26,4450.000000,4480.000000,3970.000000,3980.000000,3059.518311,91025000
2001-01-29,4000.000000,4100.000000,3960.000000,4020.000000,3090.266846,47245000
2001-01-30,4100.000000,4170.000000,4070.000000,4110.000000,3159.452148,39350000
2001-01-31,4090.000000,4400.000000,4090.000000,4400.000000,3382.381348,53045000
2001-02-01,4270.000000,4420.000000,4190.000000,4270.000000,3282.447754,39730000
2001-02-02,4290.000000,4390.000000,4220.000000,4290.000000,3297.822754,27330000
2001-02-05,4170.000000,4200.000000,3990.000000,4030.000000,3097.954346,47135000
2001-02-06,3980.000000,4020.000000,3910.000000,4010.000000,3082.580322,31545000
2001-02-07,3960.000000,3990.000000,3900.000000,3900.000000,2998.020020,23130000
2001-02-08,3920.000000,4060.000000,3890.000000,4060.000000,3121.016357,34685000
2001-02-09,4040.000000,4100.000000,3980.000000,4070.000000,3128.704346,25230000
2001-02-12,3840.000000,4050.000000,3840.000000,3970.000000,3051.830811,36110000
2001-02-13,4040.000000,4100.000000,3970.000000,3980.000000,3059.518311,22295000
2001-02-14,3920.000000,4040.000000,3900.000000,3980.000000,3059.518311,19710000
2001-02-15,4200.000000,4210.000000,4100.000000,4130.000000,3174.826172,34930000
2001-02-16,4150.000000,4310.000000,4130.000000,4250.000000,3267.073242,46375000
2001-02-19,4180.000000,4210.000000,4100.000000,4190.000000,3220.949707,22880000
2001-02-20,4190.000000,4280.000000,4180.000000,4240.000000,3259.386475,18175000
2001-02-21,4160.000000,4200.000000,4140.000000,4160.000000,3197.887939,19500000
2001-02-22,4080.000000,4100.000000,3940.000000,4010.000000,3082.580322,43605000
2001-02-23,3920.000000,3970.000000,3830.000000,3840.000000,2951.896973,76855000
2001-02-26,3850.000000,3860.000000,3780.000000,3840.000000,2951.896973,35665000
2001-02-27,3840.000000,3940.000000,3790.000000,3790.000000,2913.460938,38695000
